gene,p_val_adj
tbx18,1.3630275463900664e-275
tmsb4x,5.402516905182685e-222
tjp1a,4.888015673782562e-211
zgc:77517,1.3613117400151204e-206
tgfbi,1.5415595291525845e-195
tubb5,7.408319462828717e-180
tnc,1.5786343087815677e-176
tpm4a,1.1329930731019719e-172
zgc:162612,5.62825039330994e-132
zgc:153867,1.2652048325125456e-127
ywhaz,2.3427555591410737e-125
tnn,5.9014806476903096e-120
tuba8l3,2.6254667415279096e-117
tmem176,4.7722004078724507e-104
tpm3,1.2029770141663166e-88
xbp1,1.705797981522109e-88
tmem258,2.579905391020936e-76
tuba1a,4.0869368308447866e-71
tbx2a,1.8714119255643214e-60
wu:fc21g02,4.1416424606960274e-54
